Timestamp,Did the Racket school help you learn about Racket syntax and did you develop skills to work with it?,Did the topics match the advertised description of the week?,Did you learn what you had hoped to learn?,Tell us what you learned that you found most interesting or valuable.,Please share any thoughts that would help us improve future instance of the school.
7/14/2018 12:27:14,4,4,4,define-syntax and #lang brag,More women and people of color
7/14/2018 12:35:51,5,5,5,"I learned a lot about different aspects of designing a language, including parsing and type-checking. It also was a great help to me since I did not encounter these aspects of Racket before.","Prior to the school, setting up a social network page/channel will help students to communicate."
7/14/2018 12:36:20,5,5,5,"I found the types talks really fascinating! I had wanted to learn how to write a typechecker for a while, so it was really great to learn about turnstile. I'm definitely going to write something in it soon.","I'd make the suggested experience a little more forceful. Perhaps heavily encourage people to have a good, up to date knowledge of Racket. Also, if code samples could be posted ahead of time on a GitHub, that'd be awesome."
7/14/2018 12:37:26,5,5,5,Butterick's gradually expanding one concept from very simple to relatively complex was perhaps the most effective session. ,"Steven's intro to type theory and Turnstile was very cool, although he did go a little quickly. All in all, it was a fantastic, educational week. I think more one-on-one time with the instructors to talk about our own projects would've been good!"
7/14/2018 12:49:18,3,3,3,"Working with macros, compile-/runtime interaction during programming.","Having more experience with Racket (or programming with parentheses in general) would have helped during the lab sessions. I had little, and the information on beforehand did not indicate that much experience was actually assumed (which I experienced to be the case)."
7/14/2018 12:51:07,5,4,3,"How to use Racket's advanced metaprogramming features, especially syntax/parse and the tricks and corner cases that make these features hard to learn on your own.","I was disappointed that we didn't cover Redex and Contracts, two tools that would be very useful in my research. We learned how to build a language, but didn't go into language design, or how to build a *good* language. Redex would have helped with that.

In general, I think the school needs to decide up front what background is required to attend the workshop. I'd expect graduate students to understand the basics of context free grammars and type checking, but we spent about a half a day on each topic. Perhaps we could follow the OPLSS model of having a special class before the workshop to catch up people without the required background.

That said, the experience was quite valuable overall, and all of the instructors were excellent. I learned a lot, and will definitely use the tools presented going forward."
7/14/2018 12:53:32,4,4,5,,
7/14/2018 13:15:01,5,5,5,the concept and philosophy of language oriented programming - and that the Racket community is wonderful,"surveys with checkable topics, consistency in breaks, pair less experienced partners with willing and able ‘’mentors.” thanks again for everything!"
7/14/2018 13:27:21,5,5,5,"BRAG, the lex/parse/expand pattern, a suggestion to use racket/gui instead of Racket Web Server + javascript for prototyping.  I also met future colleagues in my pair-programming partners and elsewhere in the classroom.","Except for Thursday, uniformly excellent and entertaining teaching. Steven needed to test his prototype lessons before using them in prime time. Great access to the gurus of Racket."
7/14/2018 13:36:48,5,5,5,"How to effectively use syntax-parse. Understand better the interleaving of compile-time and run-time processing. Exposure to brag grammar language, Turnstile, and various examples of languages has shown me how easy it is to create DSLs on the fly. It has given me confidence to get started on crafting my own LOP solutions.

The lectures have enriched my understanding of what LOP means and has given me immediately applicable insights to my own projects.","I think it would be nice to have some lecture on operational semantics too to give us a flavor of how to rigorously model language semantics and prove properties or invariants.

Voice pacing was rather fast making it harder to fully digest each information package."
7/14/2018 13:42:47,4,4,4,"The idea of language abstraction, and the approach to it through macros","The lab sessions are essential to my learning, and I loved the diverse background of the participants "
7/14/2018 13:55:58,5,5,4,syntax-parse & related macro best practices,"Perhaps multiple learning tracks? Some sections were a bit slow for advanced students, others a bit fast for less experienced students."
7/14/2018 13:57:46,4,4,3,The most interesting part of Racket School for me was learning about the various ways one could quickly and efficiently implement DSLs,More support should be provided to help students with their own projects. 
7/14/2018 14:19:07,5,5,4,Building toy languages helped me understand the allure of LOP,Stephen's session would have been easier to follow if we had done sone prereading on the format of logical proofs. 
7/14/2018 14:20:56,4,5,4,Starting to understand the value of Racket's syntax objects over Lisp macros.,At times if felt like there wasn't much synchronization between teachers and what was being taught on different days.
7/14/2018 14:29:47,5,5,5,how easy it was to make a type-checker and a language and parse syntax. Did not have experience with this before. I also enjoyed Matthias's session for students who plan to pursue a PhD,"I liked the session for persons who plan to pursue a PhD. I wish we had a dedicated Slack channel so we could share information and continue discussions on topics taught during the day and even talk about who is going to dinner where after the workshop was complete. The bagels were really great, as were the lunches :) Oh, if someone happens to have Racket stickers next year....
: ) Thank you for Racket School. I had a great time!"
7/14/2018 15:11:15,5,5,4,Communicating macros,Content matched or slightly exceeded my level - perfect for learning. Organisation was great.
7/14/2018 15:11:16,5,5,5,"The most interesting and valuable thing to me was learning about Racket's facilities for macros: syntax-parse, syntax classes, etc. I enjoyed learning about them and working through the exercises. I especially enjoyed the extended examples on Friday, which both recapped this material and pushed the ideas further. Jay's presentation was especially good at ""pushing"" the ideas further.","(1) Thursday was the most frustrating day for me. I think that the Turnstile material was both the most complicated and the least well explained. (2) The presentation of ""ugly"" languages would benefit from a more sensible example than ""taco/not-a-taco."" (3) There was a wide range of experience among the participants, and I'm not sure if the ""Racket novices"" were able to keep up. One way to help people ""keep up"" would be to offer more interim solutions: if exercise  4 builds on 3, provide a solution to 3 so that everybody can attempt 4. (4) I would have enjoyed more structured social opportunities. I feel that I didn't get to meet very many people that I did not already know. Maybe enforce a rule that you need a new pair-programming partner every session?"
7/14/2018 15:28:31,5,5,5,"The focused practice was invaluable, that gave me the confidence to use macros or make new #langs much more willingly. I also appreciated all the discussions and comments pertaining to 'language vs. library.' I now feel I understand better how Racketeers think about that distinction. (Or rather, the lack thereof.)","I thought it was excellent. I think a showcase of more practical #langs would have been useful as well. (Not necessarily understanding how all of them were implemented, but just getting more of a feel for the kinds of problems others have solved using LOP)"
7/14/2018 15:41:37,3,5,5,How to re-program Racket DSL ( macros/module and production rule ..key concepts and coding abstraction ),"Experienced ,Racket school 2018 , exceeding my expectation -- friendly and helpful content, amazing passionate scientific teaching group."
7/14/2018 15:57:26,5,5,4,"I think I finally understand how to use macros, and Racket macros seem to be much easier to write and debug than CL macros!","I missed having more time to develop our own (and bigger) projects using what we learned.  I understand that fitting this in the schedule might be difficult, but it would be interesting."
7/14/2018 16:41:47,5,5,5,"Being in a setting with a bunch of smart people and hearing other questions asked as the material was presented. It is hard to duplicate that type of experience without being in person.

Just seeing what was possible and getting some hands on experience doing parts of it was very valuable too.

The pair programming and switching pairs was extremely valuable.","On quite a few of the exercises, it was hard to understand exactly what was being asked for. I liked having multiple exercises because we had a range of expertise and this helped make sure that things were small enough that a novice could complete at least one exercise, while allowing the expert to go further. However, many of the exercises were based on the previous exercise being completed correctly and this made it a bit difficult. If you made a mistake it could be like dominoes and keep you from doing the later problems. MB's exercises mostly avoided this problem and that seemed to make things go a bit smoother on those exercises. (Though we should have had tacos on the day he presented. ) 

Everyone was helpful but I especially appreciated Stephen Chang's help over the week. He did a great job of guiding us to answers when we had questions and making sure we understood everything before moving on to help someone else.

A problem set 0 sent out a month ahead of time would probably be well worth it. the link to Quick and the exercise in Beautiful Racket were very helpful and I went through both of those, but I think some problems that were designed specifically for what we were going to be doing each day of class might be a good way to make sure everyone has at least some core experience with what we will be discussing.

Overall it was a great experience. The team did an incredible job of making it valuable to people with a wide range of experience and that is really quite an accomplishment. The week challenged a lot of my ideas about programming languages and the importance of writing code in a way that best expresses the problem domain. It was definitely worth my time coming. Thank you to everyone who made it possible."
7/14/2018 17:51:00,5,5,5,Syntax parse,"Everything was great. However, I feel I should've been better prepared and more experience with Racket before starting the course."
7/14/2018 18:08:23,3,4,4,Particularly enjoyed Matthew Butterick’s sequence of tutorials because they were code driven and approachable. ,"I think the most experienced racket students tended to set the pace, at the expense of newer ones. It would be nice to accommodate to a wider range of experience levels. "
7/14/2018 18:17:53,5,5,5,"Implicit forms, Type systems, Turnstile, and coding type rules",
7/14/2018 19:30:15,5,5,5,Examples of different languages. ,Making decisions on a new language. How to approach in making abitrary language.  
7/14/2018 19:59:47,3,5,4,"I got a sense of how practical developing DSLs was, and a sense of the advantages and disadvantages with respect to APIs. Looking forward to trying a few of my own in Racket. ","The Racket language is super large, and while I had some grasp of LISP languages generally, I felt like my starting point was less than ideal. Just made it a little more tiring and occasionally overwhelming. I left early on the last day for this reason (just wanted a break). It was a great experience though, and I am grateful to have been invited. Thanks to the organizers and presenters. The effort that went into this event was obvious, and I think it was successful as a survey course."
7/15/2018 0:43:33,5,5,4,Full mechanics of Racket macros (from define-syntax to #% forms to #lang) was great to understand.,"1. It would be worth spending the time to cover how macro expansion is implemented in the compiler. Throughout the week, there was a decent amount of hand-waving about run time vs. compile time, phases, etc. but there was never a clear technical explanation of the compiler's mechanics, which I think would have helped clarify my mental model.

2. The type systems day (Thursday) left a lot to be desired. As someone who's taught the same kind of type theory basics before, I thought it was too handwavy to be useful (the fellow adjacent to me I worked with was quite lost). Specific notes:
* The term ""judgment"" was repeatedly referenced but never explained.
* Rules were always presented abstractly without concrete examples, which is backwards. It should be: here's an example expression in the STLC, what type should it be? Then ask what the generalization is. 
* Similarly, without showing full derivations for examples, the purpose of the horizontal inference rules won't make sense to people.
* All of the many assumptions implicit in type judgments should be made explicit, e.g. all metavariables are implicitly quantified with a \forall.
* Having not studied bidirectional type judgments before, I'm still a little confused by them. We talked briefly about how to use them in lecture, but then the example implementation in Racket (not Turnstile) just used essentially (define check compute), which confused me further."
7/15/2018 11:02:31,5,5,5,How macros work and how we can use Racket to create any sort of language.,"It was perfect. If I get an opportunity, I will attend it again"
7/15/2018 12:55:32,5,5,4,the workflow to follow when developing dsl,
7/15/2018 13:42:24,5,5,5,"I learned some of the reasons macros are powerful, and some of the ways they can cause problems.",Having a group outing (like a hike)
7/15/2018 14:25:30,5,5,4,"the 'staged' approach to language development, and the value of cleanly separated phases","i was hoping to see at least one example of a compiler, where we used all the racket machinery, but the final product was code meant to be executed by something entirely independent of racket. (i'll admit, i have no practical idea how that could be squeezed into an already intense course!)"
7/15/2018 18:44:45,4,4,4,The syntax-parse macro was very interesting and the pattern matching aspect seems very valuable. I also the br and brag languages useful for getting up and running quickly.,
